PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,W460-Curve_Description,W460-Fit_LogAC50,W460-Fit_HillSlope,W460-Fit_R2,W460-Fit_InfiniteActivity,W460-Fit_ZeroActivity,W460-Fit_CurveClass,W460-Excluded_Points,W460-Max_Response,W460-Activity at 0.0004332835 uM,W460-Activity at 0.00130 uM,W460-Activity at 0.00388 uM,W460-Activity at 0.00491 uM,W460-Activity at 0.012 uM,W460-Activity at 0.035 uM,W460-Activity at 0.057 uM,W460-Activity at 0.105 uM,W460-Activity at 0.315 uM,W460-Activity at 0.650 uM,W460-Activity at 0.956 uM,W460-Activity at 2.842 uM,W460-Activity at 4.858 uM,W460-Activity at 8.495 uM,W460-Activity at 25.28 uM,W460-Activity at 36.32 uM,W460-Activity at 76.68 uM,W460-Activity at 182.0 uM,W460-Activity at 407.0 uM,W460-Activity at 910.0 uM,W460-Activity at 2034.7 uM,W460-Activity at 4832.4 uM,W460-Activity at 10805.3 uM,W460-Activity at 24160.5 uM,W460-Activity at 54023.0 uM,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0004332835 uM,Ratio-Activity at 0.00130 uM,Ratio-Activity at 0.00388 uM,Ratio-Activity at 0.00490 uM,Ratio-Activity at 0.012 uM,Ratio-Activity at 0.035 uM,Ratio-Activity at 0.057 uM,Ratio-Activity at 0.105 uM,Ratio-Activity at 0.315 uM,Ratio-Activity at 0.650 uM,Ratio-Activity at 0.956 uM,Ratio-Activity at 2.842 uM,Ratio-Activity at 4.857 uM,Ratio-Activity at 8.495 uM,Ratio-Activity at 25.28 uM,Ratio-Activity at 36.32 uM,Ratio-Activity at 76.68 uM,Ratio-Activity at 182.0 uM,Ratio-Activity at 406.9 uM,Ratio-Activity at 909.9 uM,Ratio-Activity at 2034.6 uM,Ratio-Activity at 4832.0 uM,Ratio-Activity at 10804.6 uM,Ratio-Activity at 24159.8 uM,Ratio-Activity at 54023.0 uM,W530-Curve_Description,W530-Fit_LogAC50,W530-Fit_HillSlope,W530-Fit_R2,W530-Fit_InfiniteActivity,W530-Fit_ZeroActivity,W530-Fit_CurveClass,W530-Excluded_Points,W530-Max_Response,W530-Activity at 0.0004332835 uM,W530-Activity at 0.00130 uM,W530-Activity at 0.00388 uM,W530-Activity at 0.00490 uM,W530-Activity at 0.012 uM,W530-Activity at 0.035 uM,W530-Activity at 0.057 uM,W530-Activity at 0.105 uM,W530-Activity at 0.315 uM,W530-Activity at 0.650 uM,W530-Activity at 0.956 uM,W530-Activity at 2.842 uM,W530-Activity at 4.857 uM,W530-Activity at 8.495 uM,W530-Activity at 25.28 uM,W530-Activity at 36.32 uM,W530-Activity at 76.68 uM,W530-Activity at 182.0 uM,W530-Activity at 406.9 uM,W530-Activity at 909.9 uM,W530-Activity at 2034.6 uM,W530-Activity at 4832.0 uM,W530-Activity at 10804.6 uM,W530-Activity at 24159.8 uM,W530-Activity at 54023.0 uM,Compound QC
6,26757875,8722,CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2],Active,82,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164456-01/21156487,,Inhibitor,8.9125,79.3995,,Complete curve; partial efficacy; poor fit,-4.95,4.9549,0.8255,-67.6414,13.8209,-1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-65.3853,,15.0877,25.2616,20.0836,31.0331,-13.1009,14.4252,29.4896,23.2169,8.6542,-11.3165,-4.6924,22.0954,,-65.3216,-60.326,-65.3853,,,,,,,,,Complete curve; high efficacy,-5.05,4.9549,0.9027,-86.654,-7.2545,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-67.2041,,-12.0994,-15.752,-4.8257,-6.1664,-17.8051,-3.2872,-5.8658,-5.7544,-9.3807,4.9837,-8.8729,-12.3854,,-106.624,-84.6441,-67.2041,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 1 0 0,5.1056,,11.4153,22.2566,11.6731,20.6204,-0.0887,5.4292,19.245,14.8992,7.1837,-13.7686,-0.7346,16.0415,,92.8908,32.5725,5.1056,,,,,,,,,QC'd by EPA
7,26757623,17520,C1=CC=C2C(=C1)C(=O)NS2,Active,81,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164206-01/21156369,,Inhibitor,15.8489,98.8818,,Partial curve; high efficacy,-4.75,0.9,0.9065,-145.946,-7.2489,-2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-127.662,,-5.2878,17.3151,7.8895,-8.9989,-22.3879,-20.2652,-19.0375,-15.3252,-6.2839,-26.791,-43.9687,-42.0303,,-59.3907,-95.071,-127.662,,,,,,,,,Complete curve; high efficacy,-4.8,1.9282,0.9509,-94.7419,4.1399,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-93.7369,,7.078,7.7403,24.5453,-4.2459,-2.2313,6.6991,-2.2435,0.5358,9.9684,-5.3618,-2.5316,-13.3101,,-40.3957,-78.9251,-93.7369,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8.0136,,-20.131,-7.0354,-22.3535,-8.3833,-20.638,-27.5001,-16.6687,-17.1675,-21.2199,-21.544,-33.1099,-25.3484,,-11.3724,12.9164,8.0136,,,,,,,,,QC'd by SigmaAldrich
8,17389869,11057,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],Active,80,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07944787-01/21170473,,Inhibitor,28.1838,99.4461,,Complete curve; high efficacy,-4.6,4.095,0.9018,-84.0049,10.8219,-1.1,0 0 0 0 0 0 0 0 0 0 1 1 0 0,-85.6673,-3.2504,,17.8627,,-4.5832,28.247,5.3391,16.1446,20.8132,-0.8354,3.6328,,26.4064,49.2099,60.6426,-66.5567,-85.6673,,,,,,,,,Complete curve; high efficacy,-4.55,4.9549,0.9158,-102.062,-2.6158,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-94.6427,-5.3085,,6.3391,,-11.9999,9.9884,-21.8566,-3.8172,-1.7127,-4.2575,-15.764,,0.2058,9.7629,-0.4025,-93.5218,-94.6427,,,,,,,,,,,,,,,4,0 0 0 0 1 0 0 0 0 0 0 0 0 1,6.566,-0.9778,,3.6712,,1.5081,6.445,13.2561,9.1416,8.9518,-0.921,8.1881,,10.3074,16.3461,29.5238,25.3681,6.566,,,,,,,,,QC'd by NIEHS/NTP
9,26757308,6422843,COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC,Active,62,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00163895-01/21156635,,Inhibitor,6.3096,60.5829,,Partial curve; high efficacy; poor fit,-4.4,0.9,0.6074,-107.046,-47.7527,-2.3,0 0 0 0 0 0 0 0 0 1 0 0 0 0 0,-85.0875,,-39.5717,-35.6763,-55.8762,-53.393,-55.3639,-58.075,-63.4991,-52.4122,-38.6134,-13.2881,-58.7681,-43.8329,,-64.3196,-82.5782,-85.0875,,,,,,,,,Complete curve; partial efficacy,-5.2,1.8851,0.9026,-59.2576,1.3253,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-65.0791,,-9.4551,0.218,-0.2021,-7.2131,3.1575,4.4132,-4.0159,-1.767,11.6678,10.7132,-5.2442,-42.0925,,-44.9838,-48.7166,-65.0791,,,,,,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9.8079,,-15.8867,-18.8218,-28.844,-21.9762,-31.3097,-34.014,-30.4476,-24.8206,-27.7351,-14.4527,-27.8808,12.7368,,-0.1798,-10.4687,9.8079,,,,,,,,,QC'd by EPA
10,26757122,21330,CC1=C(S(=O)(=O)CCO1)C(=O)NC2=CC=CC=C2,Active,41,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00163731-01/21156843,,Inhibitor,39.8107,117.662,,Complete curve; partial efficacy; poor fit,-4.55,4.9549,0.7808,-77.5166,-8.2224,-1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-73.2545,,-5.2347,8.97,-18.1053,-21.8176,-18.5422,3.5528,-19.3763,-11.7191,-5.762,-7.8378,-26.8314,-5.3882,,6.0767,-64.807,-73.2545,,,,,,,,,Partial curve; high efficacy,-4.4,2.2481,0.9421,-108.21,9.4513,-2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-90.1753,,3.3208,20.6103,17.7555,13.338,1.8193,6.0632,21.016,5.7131,8.5761,7.9471,10.4397,-5.396,,-3.8835,-37.2709,-90.1753,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 0 1 1,45.7761,,-7.4256,-8.3442,-19.4164,-18.8673,-12.2243,-3.6608,-21.5591,-8.7192,-9.5654,-10.5898,-20.8825,-1.8235,,3.7235,-17.3651,45.7761,,,,,,,,,QC'd by EPA
11,26757195,44134378,CC[C@H](C)C1[C@H](C=C[C@@]2(O1)C[C@@H]3C[C@H](O2)CC=C([C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@@H]([C@@H](O7)C)NC(=O)C)OC)OC)C)C,Active,41,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00163790-01/21157046,,Inhibitor,22.3872,102.377,,Complete curve; high efficacy; poor fit,-4.6,4.9549,0.8494,-104.993,12.7537,-1.3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-99.303,,15.453,30.5184,-2.6078,13.2433,11.566,12.3344,15.6439,3.2816,-6.8881,16.5298,-18.8668,42.4048,,23.3892,-88.5247,-99.303,,,,,,,,,Partial curve; high efficacy,-4.65,4.9549,0.912,-101.274,1.103,-2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,-59.7874,,-9.2323,-4.0546,7.5531,-0.7107,-7.4305,1.3992,-5.1882,4.7197,-1.5559,6.8167,5.2665,20.3877,,-14.8447,-89.9097,-59.7874,,,,,,,,,,,,,,,4,,-25.9367,,12.8804,18.9398,-4.3385,9.6886,11.5283,4.9224,13.9758,1.094,-2.8979,4.254,-12.0569,7.3618,,21.5422,10.4824,-25.9367,,,,,,,,,QC'd by EPA
12,26757816,5833,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C,Active,40,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164397-01/21155720,,Inhibitor,28.1838,105.01,,Partial curve; partial efficacy,-4.5,1.3437,0.9275,-81.3058,29.9244,-2.2,0 0 0 1 0 0 0 0 1 0 0 0 0 0 0,-58.8488,,31.6528,34.2341,27.8388,49.6671,48.0239,21.2821,17.662,36.2036,81.6649,30.0881,15.4238,19.5196,,-2.7517,-27.6954,-58.8488,,,,,,,,,Partial curve; high efficacy,-4.55,3.0654,0.9567,-101.159,3.8517,-2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-96.6794,,7.4084,-10.9172,13.3682,4.8627,-8.2072,6.599,4.1241,4.4017,8.7436,2.8699,11.058,-0.4273,,-7.1197,-64.135,-96.6794,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,66.574,,8.8257,25.0658,5.9767,24.4245,31.8299,4.6218,6.7912,16.7259,35.6528,12.1733,0.1167,7.47,,-0.3486,35.3716,66.574,,,,,,,,,QC'd by SigmaAldrich
13,17388700,28803,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07944392-01/21170226,,Inhibitor,70.7946,130.621,,Single point of activity,-4.15,1.9673,0.5365,-118.697,3.7614,-3,0 0 0 0 1 0 0 0 0 0 0 0 0 0,-88.4653,-2.4269,,-6.104,,7.9062,36.9164,57.5243,-31.7007,6.8405,4.5986,9.4661,,19.2341,-9.2576,-18.7411,11.534,-88.4653,,,,,,,,,Single point of activity,-4.15,2.2526,0.7015,-134.026,-3.4054,-3,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-102.229,-8.8558,,-19.1383,,-9.2276,-12.0224,-2.9801,-9.736,-14.8506,-4.1214,10.1927,,-5.8328,8.8477,11.285,0.5964,-102.229,,,,,,,,,,,,,,,4,1 0 0 0 0 1 0 0 0 0 0 0 0 1,57.4834,4.018,,7.2233,,8.2615,26.8548,32.9716,-11.3737,13.7052,4.9071,-1.9871,,13.921,-11.4424,-18.1578,1.9437,57.4834,,,,,,,,,QC'd by NIEHS/NTP
14,17388809,1752,CCCCCCCCCC1=CC=C(C=C1)O,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07944034-01/21170423,,Inhibitor,50.1187,30.0751,,Single point of activity,-4.3,1.1,0.6207,-67.5336,15.5255,-3,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-56.278,19.7628,,22.0874,,10.9744,38.9772,24.3104,1.0365,21.545,14.7141,-8.9941,,0.5141,-1.2691,5.6752,-2.8174,-56.278,,,,,,,,,Single point of activity,-4.3,3.99,0.6221,-34.429,-4.3538,-3,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-37.7613,-7.6201,,1.0387,,-16.542,-10.8338,2.1524,-6.1445,-3.2433,-13.2189,-6.4582,,-3.678,5.7771,-0.2869,-8.9871,-37.7613,,,,,,,,,,,,,,,4,0 0 0 1 0 0 0 0 0 0 0 0 0 0,-18.5216,13.4513,,6.6657,,12.5283,24.255,7.7729,0.7166,8.8973,12.476,-7.053,,-4.4535,-10.6886,-3.9904,-5.6379,-18.5216,,,,,,,,,QC'd by NIEHS/NTP
15,17388830,5371728,CCCCCCCC/C=C\CCCCCCCC(=O)N(CCO)CCO,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08001457-01/21170424,,Inhibitor,50.1187,63.5909,,Single point of activity,-4.15,2.3332,0.5089,-87.384,7.6199,-3,0 1 0 0 0 0 0 0 0 0 0 0 0 0,-64.6864,-9.8043,,128.665,,28.1915,11.3997,32.9164,8.7608,-20.7693,10.3953,6.2344,,-6.6882,-3.3123,9.8699,14.1283,-64.6864,,,,,,,,,Single point of activity,-4.3,3.99,0.7756,-56.5909,7,-3,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-65.2273,18.4591,,21.5,,0.6152,-4.1232,10.2914,-2.4157,3.4568,-4.9068,7.8624,,6.4444,9.2902,18.1131,-3.3674,-65.2273,,,,,,,,,,,,,,,4,,9.6952,-11.9513,,45.5132,,16.2736,11.4438,14.0378,9.7063,-11.5989,12.0268,1.0619,,-6.021,-4.9977,-3.1099,10.0591,9.6952,,,,,,,,,QC'd by NIEHS/NTP
16,17388887,13101,CC(C)CC(C)NC1=CC=C(C=C1)NC2=CC=CC=C2,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08007627-01/21170360,,Inhibitor,50.1187,77.0152,,Partial curve; high efficacy; poor fit,-4.4,2.4064,0.678,-118.98,-10.7167,-2.3,0 1 0 0 0 0 0 0 0 0 0 0 1 0,-100.49,-0.4652,,62.7379,,-15.2202,6.6776,-11.9775,-25.0754,-27.1318,-27.3756,-48.4806,,1.1033,6.3057,-27.2308,35.6276,-100.49,,,,,,,,,Partial curve; high efficacy; poor fit,-4.3,4.4495,0.7367,-88.2187,-11.2035,-2.3,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-104.636,-10.7695,,-17.8,,-11.1413,-3.2174,-15.1583,-24.4943,-22.7122,-12.661,-20.6655,,-12.6528,-10.2028,19.8467,-13,-104.636,,,,,,,,,,,,,,,4,0 1 0 0 0 0 0 0 0 0 0 1 0 0,29.8607,6.0356,,38.9361,,-2.9715,4.0674,2.2207,1.7607,-2.2031,-8.1975,-16.2342,,7.5537,8.9357,-25.0673,24.1906,29.8607,,,,,,,,,QC'd by NIEHS/NTP
17,17388910,22772,C(SC#N)SC#N,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08007015-01/21169518,,Inhibitor,63.0957,114.215,,Single point of activity,-4.3,2.7202,0.6551,-47.6498,30.0371,-3,1 0 1 1 0 0 0 0 0 0 0 0 0 0,-48.3395,18.3283,,55.2366,,104.618,88.6825,51.4606,26.6458,22.8629,31.7019,8.89,,14.6724,34.9346,13.1439,18.2006,-48.3395,,,,,,,,,Single point of activity,-4.2,2.2526,0.7447,-114.168,0.0476,-3,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-86.8458,9.7462,,-1.7913,,-11.8151,-11.9565,-7.3194,-6.6633,-5.1611,-0.4422,-1.3634,,1.7059,12.6786,-0.9679,1.2467,-86.8458,,,,,,,,,,,,,,,4,1 0 1 0 0 0 0 0 0 0 0 0 0 1,19.6713,0.6473,,22.9745,,53.8162,46.7524,25.6491,13.4537,8.8708,11.139,-0.344,,0.3872,6.3019,0.896,1.4849,19.6713,,,,,,,,,QC'd by NIEHS/NTP
18,17389015,14710,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],Inconclusive,20,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07990366-01/21169894,,Inhibitor,28.1838,78.0918,,Partial curve; partial efficacy; poor fit,-4.9,1.4487,0.8196,-63.6979,41.8775,-2.4,0 0 1 0 0 0 0 0 0 0 0 0 0 0,-54.8265,54.3501,,84.7653,,81.1116,20.8426,26.8623,34.2468,49.962,18.8714,41.2147,,23.4069,17.3673,-32.3912,-43.8334,-54.8265,,,,,,,,,Complete curve; partial efficacy; poor fit,-4.55,4.9549,0.8993,-81.5016,-3.4098,-1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-79.168,-3.1193,,-14.5498,,-19.1044,-0.6396,-12.544,-2.6678,-2.1124,-2.2989,4.7547,,-6.0442,14.9299,-0.9702,-70.2243,-79.168,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1 0 0,15.0096,23.7184,,43.5166,,49.2334,3.8503,14.8337,12.9311,20.4781,3.3034,11.3939,,7.3867,-6.9958,-27.8752,12.4121,15.0096,,,,,,,,,QC'd by NIEHS/NTP
19,17389115,8816,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],Inconclusive,20,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07944367-01/21170612,,Inhibitor,44.6684,73.7147,,Single point of activity,-5,2.7868,0.8212,-55.055,27.7801,-3,0 0 0 0 0 0 0 0 0 0 0 1 1 0,-53.3791,24.3959,,41.4069,,34.0903,3.3215,43.0213,14.2316,28.7477,32.0224,22.5396,,32.3662,-5.2635,73.0527,45.9113,-53.3791,,,,,,,,,Single point of activity,-4.35,3.99,0.8239,-67.8329,5.8819,-3,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-75.7695,3.3977,,0.6305,,13.8067,-14.5956,1.7556,-4.0301,11.1082,3.1457,16.5928,,14.1332,8.2305,9.6903,-9.6907,-75.7695,,,,,,,,,,,,,,,4,,34.6798,8.5783,,17.0668,,5.3596,8.8796,20.5441,7.9761,5.1325,13.3607,-1.4452,,4.9611,-12.1821,32.2902,29.1856,34.6798,,,,,,,,,QC'd by NIEHS/NTP
20,17389243,5288209,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)NC2=CC=C(C=C2)O)/C)/C,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB02540517-01/21170386,,Inhibitor,50.1187,71.7191,,Partial curve; partial efficacy; poor fit,-4.45,1.6924,0.7218,-78.4803,0.4724,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-63.7221,-8.1166,,12.5055,,8.0525,26.5537,-8.8384,-5.2671,-14.774,-10.1645,-0.698,,-2.9448,9.0405,-29.7867,-34.5255,-63.7221,,,,,,,,,Partial curve; partial efficacy; poor fit,-4.3,1.8851,0.7358,-75.0465,-3.3275,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-65.8002,-12.7174,,8.0543,,0.2937,-14.1573,0.604,-10.0468,12.4745,0.1967,0.5463,,-10.9568,-7.8002,-21.8347,-16.2883,-65.8002,,,,,,,,,,,,,,,4,,11.0653,2.569,,-1.6527,,0.862,21.0769,-6.524,2.6423,-16.0412,-7.1327,-2.1427,,3.4757,8.1508,-4.9081,-12.9629,11.0653,,,,,,,,,QC'd by NIEHS/NTP
21,17389712,2406,C1=C(C=C(C(=C1SC2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB07930243-01/21170340,,Inhibitor,44.6684,79.4547,,Partial curve; high efficacy; poor fit,-4.35,3.132,0.7847,-84.4517,15.4321,-2.3,0 0 0 0 0 1 0 0 1 0 0 0 0 0,-80.6645,25.1444,,42.7922,,-4.026,-7.2314,11.416,-27.6777,10.6673,18.8338,-24.8083,,35.6415,6.887,7.0442,-20.2813,-80.6645,,,,,,,,,Partial curve; partial efficacy; poor fit,-4.35,3.132,0.8696,-74.9153,4.5395,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-69.8636,5.013,,-0.3,,0.1803,-0.3841,11.1763,-5.7605,3.2626,-1.2966,18.6951,,19.3472,10.3462,-7.7336,-24.3244,-69.8636,,,,,,,,,,,,,,,4,,19.6723,9.3246,,20.0475,,-3.2459,-2.8647,0.6028,-9.1569,6.8689,16.8555,-20.4844,,11.7637,3.0659,17.9485,12.8884,19.6723,,,,,,,,,QC'd by NIEHS/NTP
22,17389724,2733525,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB02540565-01/21170225,,Inhibitor,28.1838,103.767,,Partial curve; partial efficacy; poor fit,-4.5,4.9549,0.7784,-73.6356,25.9042,-2.4,0 1 1 0 0 0 0 0 0 0 0 0 0 0,-75.9341,3.8354,,86.1395,,65.9377,39.2329,9.2118,9.3983,26.0886,-0.2372,53.5868,,52.4065,32.0914,27.7021,-41.0356,-75.9341,,,,,,,,,Single point of activity,-4.55,4.9549,0.934,-100.973,2.7946,-3,0 0 0 0 0 0 0 0 0 0 0 0 0 1,57.3393,-0.7695,,10.2848,,7.7807,-9.55,3.4387,-7.1804,2.3596,11.139,-0.2825,,6.3014,4.626,0.2643,-82.9683,57.3393,,,,,,,,,,,,,,,4,,-57.8786,0.812,,29.9611,,25.0217,25.2973,0.8954,8.299,10.6056,-8.5975,28.413,,22.0874,12.2434,13.1663,56.2945,-57.8786,,,,,,,,,QC'd by NIEHS/NTP
23,17389827,135436526,CN(C(=N)N[N+](=O)[O-])N=O,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08001481-01/21169353,,Inhibitor,50.1187,57.0589,,Single point of activity,-4.3,2.2526,0.6381,-54.5847,-3.6276,-3,1 1 1 0 0 0 1 0 0 0 0 0 0 0,-51.0102,-2.1139,,86.2612,,67.0588,-8.0673,-2.0231,15.266,40.2825,-12.8722,-1.8824,,-16.7384,-0.9837,-12.8945,-9.2004,-51.0102,,,,,,,,,Single point of activity,-4.3,3.99,0.6879,-49.5589,7.5,-3,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-58.3241,10.7763,,2.0759,,-3.7219,0.9223,10.2227,-8.2398,13.8198,11.303,-7.021,,20.412,23.3962,12.654,3.3533,-58.3241,,,,,,,,,,,,,,,4,1 1 0 0 0 0 0 0 0 0 0 0 0 1,18.1908,-2.434,,41.2845,,40.0198,-0.1964,-2.3552,18.4653,16.929,-8.8496,7.9899,,-15.8494,-8.9773,-10.1972,-5.0386,18.1908,,,,,,,,,QC'd by NIEHS/NTP
24,26751486,5994,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00022185-07/21155848,,Inhibitor,50.1187,78.3983,,Single point of activity,-4.3,3.5117,0.6287,-87.1606,11.5935,-3,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-95.3663,,-36.3111,-11.2016,21.6105,40.1997,16.3301,-7.097,41.0282,-2.2276,9.5955,30.435,13.1687,-26.852,,6.5403,6.0967,-95.3663,,,,,,,,,Single point of activity,-4.3,4.4495,0.841,-72.3203,6.078,-3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-85.5919,,4.866,-4.3997,3.1187,6.0638,4.5657,-1.1889,11.4043,4.3004,7.6948,15.708,13.5891,-8.0577,,10.6796,7.3659,-85.5919,,,,,,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0 0 0 1,28.1713,,-25.2946,-4.0304,9.7775,18.7721,4.9107,-5.4366,14.6578,-3.8462,-1.9427,2.7609,-3.768,-11.6507,,-7.3103,-3.2496,28.1713,,,,,,,,,QC'd by SigmaAldrich
25,26752909,11057,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],Inconclusive,20,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00091112-02/21156111,,Inhibitor,25.1189,142.115,,Complete curve; high efficacy; poor fit,-4.65,3.0654,0.696,-153.761,-17.2825,-1.3,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0,-141.809,,-33.215,-18.6168,-47.3111,-47.2669,-38.2951,-66.5113,-32.7203,-29.6846,3.9724,-0.4785,68.5069,31.0089,,-35.1632,-141.816,-141.809,,,,,,,,,Partial curve; high efficacy; poor fit,-4.6,4.095,0.8848,-143.536,-1.4206,-2.3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,-63.0262,,-16.7722,-2.8749,7.8432,-12.2007,-7.7631,-6.0029,-2.0747,-3.582,-1.5936,1.1524,29.5537,-5.0955,,-17.0958,-112.51,-63.0262,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,-59.1185,,-18.1328,-18.0887,-38.1819,-26.103,-25.5727,-42.349,-24.5492,-21.7741,-7.1279,-11.6983,2.748,8.1367,,-18.9492,-3.5937,-59.1185,,,,,,,,,QC'd by SigmaAldrich
